Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,9.25490105641600E-01,1.01332949593047E+00,1.36904714476688E+00,1.49857836940785E+00,2.99990686945695E+00,2.84649138521505E+00,2.47543476747022E+00,2.40316156127801E+00,2.54652076596292E+00,2.97067670247262E+00,4.40867556414280E+00,4.87884782533224E+00,,,,,,,,,,,,,,,,,,,,4.89543844342801E-02,2.38729645629603E-03,4.47870224654356E-03,1.24011333527952E-02,7.69663999528918E-03,7.89749114582272E-03,5.56631891835626E-02,1.83765006610351E-01,9.19753164604490E-02,1.12638604761696E-01,1.38267475027171E-01,0.00000000000000E+00,,
Afghanistan,AFG,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,1.65148566160542E+07,1.89379797019330E+07,2.23306503431179E+07,2.65414555281035E+07,6.60646158958133E+07,6.88218361580884E+07,6.46363535291449E+07,7.25220736463605E+07,8.58460426048343E+07,1.12165139129832E+08,1.63850780513447E+08,1.73273012166436E+08,1.68310701263503E+08,1.63019872193586E+08,1.66011081628925E+08,1.58235910845658E+08,1.41469866023004E+08,6.35083708458984E+07,4.82442104193913E+07,1.03091852322963E+07,9.00547174906097E+06,8.65743539596282E+06,6.45933396814360E+06,7.49105986708899E+06,6.36139466933138E+06,6.23920927204454E+06,8.14558958658629E+06,6.88175019065181E+06,4.95349950173652E+06,3.91896239443597E+06,9.33993807813754E+06,1.20509359122837E+06,9.83538385485271E+04,2.04970520216255E+05,6.56459579401166E+05,4.83827790545447E+05,5.60793063926403E+05,5.49597794941199E+06,1.88056561639328E+07,1.15344951191425E+07,1.80208079542040E+07,2.48230005558258E+07,0.00000000000000E+00,,
Afghanistan,AFG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.63046254867606E+01,-8.90739366404863E+00,-1.58207605334546E+01,-1.91787437734274E+01,-1.44365060535882E+01,,
Afghanistan,AFG,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
Afghanistan,AFG,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
Afghanistan,AFG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,2.20766239522545E+00,2.85840110340952E+00,3.59666225020016E+00,3.68709575486252E+00,5.19670426303579E+00,5.70015564691419E+00,5.46618851295265E+00,5.09776181473484E+00,5.06562853713341E+00,5.95547871821186E+00,7.76073802984290E+00,7.37829319851124E+00,,,,,,,,,,,,,,,,,,,,2.68904499063103E+00,2.24058704523362E+00,2.19454615724391E+00,1.68588865997988E+00,1.41758392487369E+00,1.88155644899730E+00,1.93123520394180E+00,2.01097463819580E+00,1.60049627610075E+00,1.65396504018213E+00,1.59019978590348E+00,1.24147667088598E+00,,
Afghanistan,AFG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,,,,,,,,,,,1.28217228958385E+00,1.84507160747905E+00,2.22761510543328E+00,2.18851738545467E+00,2.19679739357884E+00,2.85366426169914E+00,2.99075374548243E+00,2.69460025345683E+00,2.51910777117049E+00,2.98480201573924E+00,3.35206246570010E+00,2.49944537317900E+00,,,,,,,,,,,,,,,,,,,,2.64009060619675E+00,2.23819974877732E+00,2.19006745499737E+00,1.67348752662708E+00,1.40988728487840E+00,1.87365895785148E+00,1.87557201475824E+00,1.82720963158545E+00,1.50852095964030E+00,1.54132643542043E+00,1.45193231087631E+00,1.24147667088598E+00,,
Afghanistan,AFG,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,,,,,,,,,,,2.28796519708611E+07,3.44822970133386E+07,3.63348290879703E+07,3.87610271470012E+07,4.83783605035650E+07,6.89952603717480E+07,7.80919048855293E+07,8.13170455026646E+07,8.49219201117718E+07,1.12698474758877E+08,1.24581190732637E+08,8.87681772543693E+07,9.49939799551725E+07,8.30574205097212E+07,5.92164133500323E+07,7.45841663191470E+07,7.93171100814854E+07,1.08912622914020E+08,1.13657676970851E+08,9.37884515039610E+07,1.29820747672817E+08,8.92319684084401E+07,7.26736069700763E+07,9.88940984120070E+07,8.87182267368304E+07,1.04890825574456E+08,1.35280379727330E+08,9.50629323288253E+07,8.56456602155612E+07,9.86056162909620E+07,6.74493530581265E+07,6.49902211325132E+07,9.22112275373402E+07,1.00229763187749E+08,8.85868159473582E+07,8.86286289053860E+07,1.33046676257745E+08,1.85187061446517E+08,1.86988136124752E+08,1.89181492553794E+08,2.46593499149013E+08,2.60663735653100E+08,2.55839153379056E+08,,
Afghanistan,AFG,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42951556809996E+01,-1.71837617465729E+01,-2.43927188021318E+01,-2.79050141659138E+01,-2.33532635236449E+01,,
Afghanistan,AFG,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.48625324599946E+09,-2.15499140010663E+09,-3.90253858296725E+09,-5.00975505638391E+09,-4.81255855115139E+09,,
Afghanistan,AFG,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70831930032638E+00,1.70070306666027E+00,1.70769403008175E+00,1.73657898592717E+00,1.76326924242538E+00,1.81383194554206E+00,1.78593627893731E+00,1.70483284468747E+00,1.62422205155952E+00,1.61017738726469E+00,1.69693513891086E+00,1.57601448094230E+00,1.49796843874431E+00,2.46438191098648E+00,2.36584752357330E+00,2.26448175292008E+00,2.29901952550400E+00,2.50513709401500E+00,2.57567916145561E+00,2.65253565126480E+00,2.46808614318371E+00,2.52852004725529E+00,2.52852004725529E+00,,
Afghanistan,AFG,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12134489398174E+07,6.85556220782426E+07,7.17861870338166E+07,9.23453232591221E+07,1.10263292188370E+08,1.29835705798326E+08,1.39331831693276E+08,1.36818352202222E+08,1.40621809752406E+08,1.45629855234914E+08,1.43843231302981E+08,3.87962175934692E+07,6.17145581507023E+07,1.12783930366494E+08,1.25237204219093E+08,1.42350324806200E+08,1.63251111008330E+08,2.47347994804190E+08,2.63583026999507E+08,3.32650766534976E+08,3.94863790215115E+08,4.53942292112448E+08,5.21068533434548E+08,,
